english,french
i won t sign this.,je ne signerai pas ceci.
we had a little water.,nous disposions d un peu d eau.
would you do it?,le ferais tu ?
tell us about your new book.,parle nous de ton nouveau livre.
it was a wonderful feeling.,ce fut une sensation merveilleuse.
that doesn t make much sense.,cela n a pas beaucoup de sens.
i am taking a holiday at the beach.,je prends des vacances a la plage.
we need some help here.,nous avons besoin d aide ici.
you look fat.,vous avez l air grosse.
i know tom is disappointed.,je sais que tom est decu.
what are you wearing tonight?,que vas tu mettre ce soir ?
she will be a famous artist in the future.,elle sera une artiste celebre dans le futur.
tom stole the ring.,tom a vole l anneau.
i believe the answer is yes.,je crois que la reponse est oui.
lead the way.,montre le chemin.
she put on her overcoat before going out.,elle mit son pardessus avant de sortir.
we were concerned.,nous etions preoccupes.
i m thorough.,je suis consciencieux.
i m disappointed in you.,tu me decois.
he was very old.,il etait fort vieux.
today s special is fish.,le plat du jour est du poisson.
it s a nice party.,c est une chouette fete.
i was really scared.,j ai vraiment eu peur.
something unexpected has happened.,il s est passe un imprevu.
how s your old lady doing?,comment va votre femme ?
we can t finish this by monday.,nous ne pouvons pas finir ceci d ici lundi.
i must leave now.,je dois partir maintenant.
he behaved like a child.,il s est comporte comme un enfant.
they were all good swimmers.,elles etaient toutes de bonnes nageuses.
money cannot buy happiness.,l argent ne peut pas acheter le bonheur.
our love will last forever.,notre amour durera toujours.
will you teach me how to play chess?,pourriez vous m apprendre a jouer aux echecs ?
that s one of my favorite expressions.,c est une de mes expressions preferees.
i wonder why this is happening.,je me demande pourquoi cela se produit.
i m surprised to see you.,je suis etonnee de te voir.
you can t do both at the same time.,on ne peut faire les deux en meme temps.
i could sure use that scholarship money.,je pourrais certainement faire usage de cette bourse.
the lights went out.,les lumieres se sont eteintes.
i m not one of them.,je ne fais pas partie de leur groupe.
you disappointed me.,vous m avez decu.
you must be exhausted.,vous devez etre epuisees.
i am only warming up now.,pour l instant je m entraine seulement.
tom should at least wear a tie.,tom devrait au moins porter une cravate.
you must not stay up late.,vous ne devez pas veiller tard.
he wrote me a letter.,il m a ecrit une lettre.
jupiter is very large.,jupiter est tres grand.
i m not so normal.,je ne suis pas si normal.
can t you wait until tomorrow?,ne pouvez vous pas attendre jusqu a demain ?
why don t you take your temperature?,pourquoi ne prends tu pas ta temperature ?
you were drunk weren t you?,vous etiez ivre pas vrai ?
i said i liked it.,j ai dit que je l aimais.
i m sorry i dragged you into this.,je suis desole de t avoir entrainee la dedans.
i like the red ones on the shelf.,j aime les rouges sur l etagere.
you re a weird kid.,t es un gamin bizarre.
i ve tried to talk to tom.,j ai essaye de parler a tom.
democracy is one form of government.,la democratie est une forme de gouvernement.
when will you leave?,tu pars quand ?
i lost my glasses.,j ai perdu mes lunettes.
i d better go now.,je ferais mieux d y aller maintenant.
i don t want to shoot you.,je ne veux pas te descendre.
they addressed me as doctor.,ils me donnerent du docteur .
what s your favorite color for carpets?,quelle est ta couleur de tapis preferee ?
i have no intention of changing.,je n ai pas l intention de changer.
i speak from experience.,je parle sur la base d experience.
they are both colleagues of mine.,ce sont tous deux des collegues a moi.
your dreams have come true.,tes reves sont devenus realite.
they were afraid of the big dog.,ils avaient peur du gros chien.
will the work be finished by tomorrow?,le travail sera t il termine demain ?
this bike belongs to my little brother.,ce velo est celui de mon petit frere.
the surgeon amputated the wrong leg.,le chirurgien a ampute la mauvaise jambe.
i ve just arrived at the station.,je viens d arriver a la gare.
it s a beautiful picture.,c est un magnifique dessin.
try as hard as you can.,essaie de toutes tes forces !
do you want your coat back?,veux tu qu on te rende ton manteau ?
tom looks interested.,tom a l air interesse.
you must come with me.,tu dois venir avec moi.
we ate until we couldn t eat any more.,nous mangeames jusqu a n en plus pouvoir.
take a picture.,prends une photo.
you have to see it.,tu dois le voir.
he lives in osaka.,il habite a osaka.
you had better not keep company with him.,tu ferais mieux de ne pas le frequenter.
the station is not far from here.,la gare n est pas loin d ici.
they don t sell beer here.,ils ne vendent pas de biere ici.
chess and checkers are favorites with them.,les echecs et les dames sont leurs jeux favoris.
tom isn t concerned about that.,tom n est pas preoccupe par cela.
today is colder than yesterday.,il fait plus froid aujourd hui qu hier.
i am afraid it is a reject.,j ai peur que ce soit un refus.
we d make a perfect team.,nous formerions une parfaite equipe.
you made the same mistake.,tu as commis la meme erreur.
we re not late.,nous ne sommes pas en retard.
would you mind shutting the door?,cela te derangerait il de fermer la porte ?
you re a star.,vous etes une celebrite.
tom you re a genius.,tom tu es un genie.
i want you to stay a little longer.,je veux que vous restiez un peu plus longtemps.
you re wrong again.,tu as a nouveau tort.
it s awesome.,c est effarant.
this place is really noisy.,cet endroit est vraiment bruyant.
it has become much warmer.,le temps est devenu beaucoup plus chaud.
be nice to her.,sois gentil avec elle !
i had a little help.,j ai dispose d un peu d aide.
she was afraid to travel alone.,elle avait peur de voyager seule.
that s where the problem lies.,c est la que le probleme reside.
you re an irresponsible idiot.,vous etes une idiote irresponsable.
where s everybody?,ou est tout le monde ?
the dog was dead.,le chien etait mort.
i think we ought to change our policy.,je pense que nous devons changer notre politique.
my father is busy as a bee every day.,mon pere est chaque jour affaire tel une abeille.
we are all alike on the inside.,nous sommes tous pareils a l interieur.
the three were arrested.,les trois ont ete arretes.
clocks used to be wound every day.,l horloge devait etre remontee chaque jour.
please refer to paragraph ten.,veuillez vous reporter au paragraphe dix.
this bridge is built of stone.,ce pont est fait de pierres.
take one of these.,prends l une de celles ci !
has the world gone mad?,le monde est il devenu fou ?
i don t believe you anymore.,je ne vous crois plus.
tom was like a brother.,tom etait comme un frere.
tom joined the marching band.,tom a rejoint la fanfare.
the party was a success.,la fete a ete un succes.
the path was narrow.,le chemin etait etroit.
i think he ate about oysters.,je crois qu il a mange quelque dix huitres.
we should do this.,nous devrions faire ceci.
his father eats there twice a week.,son pere mange la deux fois par semaine.
it is a nice view from here.,il y a une jolie vue d ici.
don t do anything stupid.,ne faites rien de stupide.
don t be so pessimistic.,ne soyez pas si pessimiste !
mary is upstairs with the baby.,mary est a l etage avec le bebe.
